POS	iHS	pop	bigpop	gene	x
4042501	1.4337	GWD	AFR	ADCY9	4042501
4042533	1.60372	GWD	AFR	ADCY9	4042533
4042995	-0.772844	GWD	AFR	ADCY9	4042995
4043091	0.837621	GWD	AFR	ADCY9	4043091
4043099	-1.53968	GWD	AFR	ADCY9	4043099
4043175	0.98428	GWD	AFR	ADCY9	4043175
4043218	1.75679	GWD	AFR	ADCY9	4043218
4043980	1.56234	GWD	AFR	ADCY9	4043980
4044038	0.873722	GWD	AFR	ADCY9	4044038
4044479	2.09788	GWD	AFR	ADCY9	4044479
4045116	1.25376	GWD	AFR	ADCY9	4045116
4045272	-0.468293	GWD	AFR	ADCY9	4045272
4045367	1.59571	GWD	AFR	ADCY9	4045367
4046952	2.17963	GWD	AFR	ADCY9	4046952
4047118	1.41317	GWD	AFR	ADCY9	4047118
4047619	1.07053	GWD	AFR	ADCY9	4047619
4047746	1.37543	GWD	AFR	ADCY9	4047746
4048218	1.46097	GWD	AFR	ADCY9	4048218
4048602	0.522393	GWD	AFR	ADCY9	4048602
4049365	0.524397	GWD	AFR	ADCY9	4049365
4049439	0.612342	GWD	AFR	ADCY9	4049439
4050383	0.645202	GWD	AFR	ADCY9	4050383
4051065	-0.216668	GWD	AFR	ADCY9	4051065
4051261	-0.15272	GWD	AFR	ADCY9	4051261
4051513	0.541753	GWD	AFR	ADCY9	4051513
4051832	-0.157264	GWD	AFR	ADCY9	4051832
4052320	-0.928196	GWD	AFR	ADCY9	4052320
4052345	0.286489	GWD	AFR	ADCY9	4052345
4052388	-0.248042	GWD	AFR	ADCY9	4052388
4052486	0.411901	GWD	AFR	ADCY9	4052486
4052717	0.256997	GWD	AFR	ADCY9	4052717
4053329	-0.123994	GWD	AFR	ADCY9	4053329
4053570	0.387595	GWD	AFR	ADCY9	4053570
4055224	-0.651681	GWD	AFR	ADCY9	4055224
4055431	-0.279747	GWD	AFR	ADCY9	4055431
4056820	-0.378589	GWD	AFR	ADCY9	4056820
4056927	0.439769	GWD	AFR	ADCY9	4056927
4057144	0.535929	GWD	AFR	ADCY9	4057144
4057603	-1.1277	GWD	AFR	ADCY9	4057603
4057637	0.377202	GWD	AFR	ADCY9	4057637
4057703	-0.147087	GWD	AFR	ADCY9	4057703
4057744	-0.147182	GWD	AFR	ADCY9	4057744
4057767	0.0153796	GWD	AFR	ADCY9	4057767
4057778	-0.145105	GWD	AFR	ADCY9	4057778
4057875	-0.690836	GWD	AFR	ADCY9	4057875
4057918	0.542883	GWD	AFR	ADCY9	4057918
4057983	-0.0830619	GWD	AFR	ADCY9	4057983
4058769	0.281084	GWD	AFR	ADCY9	4058769
4059401	0.0582751	GWD	AFR	ADCY9	4059401
4059439	-0.178465	GWD	AFR	ADCY9	4059439
4060301	0.26952	GWD	AFR	ADCY9	4060301
4060661	-0.0440489	GWD	AFR	ADCY9	4060661
4060760	-0.747874	GWD	AFR	ADCY9	4060760
4060980	-0.0434955	GWD	AFR	ADCY9	4060980
4061103	0.118172	GWD	AFR	ADCY9	4061103
4061616	0.207123	GWD	AFR	ADCY9	4061616
4061908	-0.63943	GWD	AFR	ADCY9	4061908
4061912	-0.585722	GWD	AFR	ADCY9	4061912
4062436	0.346477	GWD	AFR	ADCY9	4062436
4062592	0.346572	GWD	AFR	ADCY9	4062592
4064326	1.19363	GWD	AFR	ADCY9	4064326
4064798	-0.11608	GWD	AFR	ADCY9	4064798
4064996	0.0131499	GWD	AFR	ADCY9	4064996
4065065	-0.529667	GWD	AFR	ADCY9	4065065
4065583	0.420611	GWD	AFR	ADCY9	4065583
4065677	0.443144	GWD	AFR	ADCY9	4065677
4065736	-0.226683	GWD	AFR	ADCY9	4065736
4065743	-0.643202	GWD	AFR	ADCY9	4065743
4065992	0.943117	GWD	AFR	ADCY9	4065992
4066061	0.896547	GWD	AFR	ADCY9	4066061
4066191	0.81552	GWD	AFR	ADCY9	4066191
4066435	0.830573	GWD	AFR	ADCY9	4066435
4066924	-0.519478	GWD	AFR	ADCY9	4066924
4066984	-0.520742	GWD	AFR	ADCY9	4066984
4068237	0.112318	GWD	AFR	ADCY9	4068237
4068563	0.781427	GWD	AFR	ADCY9	4068563
4068798	-0.550565	GWD	AFR	ADCY9	4068798
4069987	-0.186948	GWD	AFR	ADCY9	4069987
4070085	0.887682	GWD	AFR	ADCY9	4070085
4070433	0.511081	GWD	AFR	ADCY9	4070433
4071461	-0.303989	GWD	AFR	ADCY9	4071461
4071929	0.455876	GWD	AFR	ADCY9	4071929
4072538	-0.317481	GWD	AFR	ADCY9	4072538
4072616	-0.317481	GWD	AFR	ADCY9	4072616
4072774	-0.323332	GWD	AFR	ADCY9	4072774
4073152	0.201985	GWD	AFR	ADCY9	4073152
4073670	0.748287	GWD	AFR	ADCY9	4073670
4074258	-0.0172983	GWD	AFR	ADCY9	4074258
4074304	0.345959	GWD	AFR	ADCY9	4074304
4074908	0.43672	GWD	AFR	ADCY9	4074908
4075152	0.281033	GWD	AFR	ADCY9	4075152
4075656	0.00671291	GWD	AFR	ADCY9	4075656
4075912	0.869507	GWD	AFR	ADCY9	4075912
4076047	0.913032	GWD	AFR	ADCY9	4076047
4076094	0.737837	GWD	AFR	ADCY9	4076094
4076136	0.010744	GWD	AFR	ADCY9	4076136
4076470	0.197204	GWD	AFR	ADCY9	4076470
4076676	1.4805	GWD	AFR	ADCY9	4076676
4076752	0.419759	GWD	AFR	ADCY9	4076752
4076830	1.9474	GWD	AFR	ADCY9	4076830
4077138	0.984369	GWD	AFR	ADCY9	4077138
4077178	1.22473	GWD	AFR	ADCY9	4077178
4077442	1.42483	GWD	AFR	ADCY9	4077442
4077461	-0.562932	GWD	AFR	ADCY9	4077461
4077605	2.2075	GWD	AFR	ADCY9	4077605
4077818	1.92092	GWD	AFR	ADCY9	4077818
4078247	2.69978	GWD	AFR	ADCY9	4078247
4078478	2.53894	GWD	AFR	ADCY9	4078478
4078513	1.98551	GWD	AFR	ADCY9	4078513
4078516	2.24424	GWD	AFR	ADCY9	4078516
4078744	2.18547	GWD	AFR	ADCY9	4078744
4079531	-1.82858	GWD	AFR	ADCY9	4079531
4079538	1.58969	GWD	AFR	ADCY9	4079538
4079618	-1.71863	GWD	AFR	ADCY9	4079618
4080385	0.102022	GWD	AFR	ADCY9	4080385
4080757	1.27825	GWD	AFR	ADCY9	4080757
4081033	1.27825	GWD	AFR	ADCY9	4081033
4081138	-0.592677	GWD	AFR	ADCY9	4081138
4081417	0.860142	GWD	AFR	ADCY9	4081417
4082254	0.852275	GWD	AFR	ADCY9	4082254
4082659	0.612263	GWD	AFR	ADCY9	4082659
4082699	-0.4787	GWD	AFR	ADCY9	4082699
4083105	-0.850351	GWD	AFR	ADCY9	4083105
4083361	-0.444578	GWD	AFR	ADCY9	4083361
4083527	0.451034	GWD	AFR	ADCY9	4083527
4084253	1.29526	GWD	AFR	ADCY9	4084253
4084496	0.91106	GWD	AFR	ADCY9	4084496
4085545	-0.237805	GWD	AFR	ADCY9	4085545
4086533	1.77993	GWD	AFR	ADCY9	4086533
4086861	0.396508	GWD	AFR	ADCY9	4086861
4086874	0.505597	GWD	AFR	ADCY9	4086874
4087211	-1.5167	GWD	AFR	ADCY9	4087211
4087512	0.355494	GWD	AFR	ADCY9	4087512
4087976	-0.691913	GWD	AFR	ADCY9	4087976
4088191	-0.365642	GWD	AFR	ADCY9	4088191
4088559	1.76945	GWD	AFR	ADCY9	4088559
4088776	-0.884023	GWD	AFR	ADCY9	4088776
4089074	-0.788922	GWD	AFR	ADCY9	4089074
4089231	0.253258	GWD	AFR	ADCY9	4089231
4089793	-1.38219	GWD	AFR	ADCY9	4089793
4090835	0.261421	GWD	AFR	ADCY9	4090835
4091131	0.515388	GWD	AFR	ADCY9	4091131
4091807	0.496129	GWD	AFR	ADCY9	4091807
4091830	-1.32315	GWD	AFR	ADCY9	4091830
4091831	-1.32315	GWD	AFR	ADCY9	4091831
4091955	-1.27634	GWD	AFR	ADCY9	4091955
4091994	0.164314	GWD	AFR	ADCY9	4091994
4092053	1.60913	GWD	AFR	ADCY9	4092053
4092081	1.60913	GWD	AFR	ADCY9	4092081
4092082	-1.27514	GWD	AFR	ADCY9	4092082
4092145	-1.49407	GWD	AFR	ADCY9	4092145
4092146	0.53782	GWD	AFR	ADCY9	4092146
4092171	-1.23579	GWD	AFR	ADCY9	4092171
4093048	0.81105	GWD	AFR	ADCY9	4093048
4093105	0.52629	GWD	AFR	ADCY9	4093105
4093226	-1.28244	GWD	AFR	ADCY9	4093226
4093275	-2.12076	GWD	AFR	ADCY9	4093275
4093287	-0.653348	GWD	AFR	ADCY9	4093287
4093390	1.09	GWD	AFR	ADCY9	4093390
4093511	1.08977	GWD	AFR	ADCY9	4093511
4093567	-0.776929	GWD	AFR	ADCY9	4093567
4093615	-0.776929	GWD	AFR	ADCY9	4093615
4093648	-0.479743	GWD	AFR	ADCY9	4093648
4093664	1.09856	GWD	AFR	ADCY9	4093664
4093769	-0.78537	GWD	AFR	ADCY9	4093769
4094157	-0.78537	GWD	AFR	ADCY9	4094157
4094328	-1.62418	GWD	AFR	ADCY9	4094328
4094479	0.195551	GWD	AFR	ADCY9	4094479
4094794	-0.475057	GWD	AFR	ADCY9	4094794
4094803	0.841608	GWD	AFR	ADCY9	4094803
4094844	1.35028	GWD	AFR	ADCY9	4094844
4094953	-0.259042	GWD	AFR	ADCY9	4094953
4095126	-0.162083	GWD	AFR	ADCY9	4095126
4095234	0.868267	GWD	AFR	ADCY9	4095234
4095679	-0.37156	GWD	AFR	ADCY9	4095679
4095762	-0.151482	GWD	AFR	ADCY9	4095762
4095809	-0.267932	GWD	AFR	ADCY9	4095809
4095988	0.861022	GWD	AFR	ADCY9	4095988
4096325	0.854879	GWD	AFR	ADCY9	4096325
4096368	-0.264459	GWD	AFR	ADCY9	4096368
4096485	0.847269	GWD	AFR	ADCY9	4096485
4096511	0.0932101	GWD	AFR	ADCY9	4096511
4096541	-0.696283	GWD	AFR	ADCY9	4096541
4096542	-0.696283	GWD	AFR	ADCY9	4096542
4096586	0.848084	GWD	AFR	ADCY9	4096586
4096952	-0.263879	GWD	AFR	ADCY9	4096952
4097071	-0.364531	GWD	AFR	ADCY9	4097071
4097098	-0.536469	GWD	AFR	ADCY9	4097098
4097222	-1.42662	GWD	AFR	ADCY9	4097222
4097579	0.96846	GWD	AFR	ADCY9	4097579
4097824	-1.75659	GWD	AFR	ADCY9	4097824
4098305	-0.563498	GWD	AFR	ADCY9	4098305
4098582	-0.00744634	GWD	AFR	ADCY9	4098582
4098661	-0.521482	GWD	AFR	ADCY9	4098661
4098784	-0.868526	GWD	AFR	ADCY9	4098784
4098985	1.13111	GWD	AFR	ADCY9	4098985
4099001	0.640204	GWD	AFR	ADCY9	4099001
4099981	0.300619	GWD	AFR	ADCY9	4099981
4100268	-0.31295	GWD	AFR	ADCY9	4100268
4100353	0.121731	GWD	AFR	ADCY9	4100353
4100354	0.28254	GWD	AFR	ADCY9	4100354
4100583	-0.0681519	GWD	AFR	ADCY9	4100583
4100900	0.152376	GWD	AFR	ADCY9	4100900
4101083	-0.323124	GWD	AFR	ADCY9	4101083
4101175	0.352075	GWD	AFR	ADCY9	4101175
4101243	0.795971	GWD	AFR	ADCY9	4101243
4101300	0.795971	GWD	AFR	ADCY9	4101300
4101386	-0.319895	GWD	AFR	ADCY9	4101386
4101660	-0.144998	GWD	AFR	ADCY9	4101660
4102069	0.0118524	GWD	AFR	ADCY9	4102069
4102450	0.0664625	GWD	AFR	ADCY9	4102450
4102864	0.623422	GWD	AFR	ADCY9	4102864
4103871	0.100626	GWD	AFR	ADCY9	4103871
4104299	0.00260594	GWD	AFR	ADCY9	4104299
4104512	0.448767	GWD	AFR	ADCY9	4104512
4104586	0.63241	GWD	AFR	ADCY9	4104586
4105641	0.0404687	GWD	AFR	ADCY9	4105641
4106788	0.910652	GWD	AFR	ADCY9	4106788
4106789	1.99021	GWD	AFR	ADCY9	4106789
4107142	0.805172	GWD	AFR	ADCY9	4107142
4107245	0.454439	GWD	AFR	ADCY9	4107245
4107990	0.730359	GWD	AFR	ADCY9	4107990
4108115	0.842327	GWD	AFR	ADCY9	4108115
4108708	-0.244004	GWD	AFR	ADCY9	4108708
4108907	-0.4517	GWD	AFR	ADCY9	4108907
4109409	-0.350513	GWD	AFR	ADCY9	4109409
4109534	0.179972	GWD	AFR	ADCY9	4109534
4109594	0.920591	GWD	AFR	ADCY9	4109594
4109664	0.920591	GWD	AFR	ADCY9	4109664
4109825	-0.430788	GWD	AFR	ADCY9	4109825
4110036	-0.808081	GWD	AFR	ADCY9	4110036
4110127	-0.667904	GWD	AFR	ADCY9	4110127
4110193	0.769591	GWD	AFR	ADCY9	4110193
4111525	-0.811029	GWD	AFR	ADCY9	4111525
4113236	0.0084587	GWD	AFR	ADCY9	4113236
4114709	0.0391015	GWD	AFR	ADCY9	4114709
4115028	-0.275298	GWD	AFR	ADCY9	4115028
4115493	0.224088	GWD	AFR	ADCY9	4115493
4116588	0.203091	GWD	AFR	ADCY9	4116588
4117429	-0.314847	GWD	AFR	ADCY9	4117429
4117930	-0.316094	GWD	AFR	ADCY9	4117930
4118391	0.316767	GWD	AFR	ADCY9	4118391
4118462	0.298266	GWD	AFR	ADCY9	4118462
4118690	0.0899287	GWD	AFR	ADCY9	4118690
4118878	0.354118	GWD	AFR	ADCY9	4118878
4120076	0.592537	GWD	AFR	ADCY9	4120076
4120121	0.238381	GWD	AFR	ADCY9	4120121
4120857	0.292561	GWD	AFR	ADCY9	4120857
4121921	0.783866	GWD	AFR	ADCY9	4121921
4122223	1.0246	GWD	AFR	ADCY9	4122223
4122923	-0.745255	GWD	AFR	ADCY9	4122923
4123323	0.41011	GWD	AFR	ADCY9	4123323
4123420	0.41011	GWD	AFR	ADCY9	4123420
4123633	0.413442	GWD	AFR	ADCY9	4123633
4124107	0.415424	GWD	AFR	ADCY9	4124107
4124280	-0.606581	GWD	AFR	ADCY9	4124280
4124300	0.495939	GWD	AFR	ADCY9	4124300
4124590	0.369001	GWD	AFR	ADCY9	4124590
4125824	-0.445062	GWD	AFR	ADCY9	4125824
4126201	-0.46243	GWD	AFR	ADCY9	4126201
4126202	-0.955913	GWD	AFR	ADCY9	4126202
4126531	1.15296	GWD	AFR	ADCY9	4126531
4126976	-0.418122	GWD	AFR	ADCY9	4126976
4127276	0.626686	GWD	AFR	ADCY9	4127276
4128516	-0.369245	GWD	AFR	ADCY9	4128516
4128563	-0.24347	GWD	AFR	ADCY9	4128563
4128581	0.120613	GWD	AFR	ADCY9	4128581
4128631	0.116936	GWD	AFR	ADCY9	4128631
4128641	1.18607	GWD	AFR	ADCY9	4128641
4128843	0.651433	GWD	AFR	ADCY9	4128843
4129753	-1.29063	GWD	AFR	ADCY9	4129753
4129915	0.585845	GWD	AFR	ADCY9	4129915
4130193	-0.398472	GWD	AFR	ADCY9	4130193
4130204	0.491919	GWD	AFR	ADCY9	4130204
4130444	-0.986259	GWD	AFR	ADCY9	4130444
4131838	1.53215	GWD	AFR	ADCY9	4131838
4131883	0.033417	GWD	AFR	ADCY9	4131883
4131898	-1.04015	GWD	AFR	ADCY9	4131898
4132309	-1.07375	GWD	AFR	ADCY9	4132309
4132777	0.745393	GWD	AFR	ADCY9	4132777
4132922	-1.2514	GWD	AFR	ADCY9	4132922
4133013	1.42719	GWD	AFR	ADCY9	4133013
4133033	-0.627347	GWD	AFR	ADCY9	4133033
4133076	1.42719	GWD	AFR	ADCY9	4133076
4133618	-0.542619	GWD	AFR	ADCY9	4133618
4134162	1.45111	GWD	AFR	ADCY9	4134162
4134246	1.42846	GWD	AFR	ADCY9	4134246
4134659	-0.490263	GWD	AFR	ADCY9	4134659
4135260	-0.990838	GWD	AFR	ADCY9	4135260
4135294	1.38521	GWD	AFR	ADCY9	4135294
4135295	2.59257	GWD	AFR	ADCY9	4135295
4135350	-0.943425	GWD	AFR	ADCY9	4135350
4135418	-0.895571	GWD	AFR	ADCY9	4135418
4135562	0.0990235	GWD	AFR	ADCY9	4135562
4135758	-1.24586	GWD	AFR	ADCY9	4135758
4135898	0.457207	GWD	AFR	ADCY9	4135898
4136157	-1.43978	GWD	AFR	ADCY9	4136157
4136172	-1.10278	GWD	AFR	ADCY9	4136172
4136418	-0.705305	GWD	AFR	ADCY9	4136418
4136727	0.115981	GWD	AFR	ADCY9	4136727
4136821	-1.69132	GWD	AFR	ADCY9	4136821
4136871	-0.251929	GWD	AFR	ADCY9	4136871
4137019	-1.02026	GWD	AFR	ADCY9	4137019
4137179	-0.953665	GWD	AFR	ADCY9	4137179
4137262	-0.297369	GWD	AFR	ADCY9	4137262
4137329	-0.874868	GWD	AFR	ADCY9	4137329
4137856	0.697506	GWD	AFR	ADCY9	4137856
4138473	0.62009	GWD	AFR	ADCY9	4138473
4138477	-0.479719	GWD	AFR	ADCY9	4138477
4139156	-0.799178	GWD	AFR	ADCY9	4139156
4139364	-0.672699	GWD	AFR	ADCY9	4139364
4139419	0.521311	GWD	AFR	ADCY9	4139419
4140188	-0.686375	GWD	AFR	ADCY9	4140188
4140298	0.149776	GWD	AFR	ADCY9	4140298
4140459	-0.0881535	GWD	AFR	ADCY9	4140459
4141127	0.61976	GWD	AFR	ADCY9	4141127
4141231	-0.838626	GWD	AFR	ADCY9	4141231
4141277	-0.278047	GWD	AFR	ADCY9	4141277
4141728	-0.112127	GWD	AFR	ADCY9	4141728
4141788	-0.462833	GWD	AFR	ADCY9	4141788
4143181	-1.4008	GWD	AFR	ADCY9	4143181
4145141	-0.185792	GWD	AFR	ADCY9	4145141
4145164	0.86438	GWD	AFR	ADCY9	4145164
4145949	-0.245377	GWD	AFR	ADCY9	4145949
4146695	0.39726	GWD	AFR	ADCY9	4146695
4147180	-0.628516	GWD	AFR	ADCY9	4147180
4147523	-0.776858	GWD	AFR	ADCY9	4147523
4147630	-0.522172	GWD	AFR	ADCY9	4147630
4148204	-0.857726	GWD	AFR	ADCY9	4148204
4148407	0.0734508	GWD	AFR	ADCY9	4148407
4148434	-0.125182	GWD	AFR	ADCY9	4148434
4148478	0.722029	GWD	AFR	ADCY9	4148478
4148617	-0.585784	GWD	AFR	ADCY9	4148617
4148689	-0.16741	GWD	AFR	ADCY9	4148689
4149095	-0.192874	GWD	AFR	ADCY9	4149095
4149131	-2.07061	GWD	AFR	ADCY9	4149131
4149175	-0.104149	GWD	AFR	ADCY9	4149175
4150427	0.732023	GWD	AFR	ADCY9	4150427
4150448	-0.00880827	GWD	AFR	ADCY9	4150448
4150479	-0.373227	GWD	AFR	ADCY9	4150479
4150609	-0.872197	GWD	AFR	ADCY9	4150609
4151587	-0.068477	GWD	AFR	ADCY9	4151587
4151597	0.680729	GWD	AFR	ADCY9	4151597
4151999	-1.8865	GWD	AFR	ADCY9	4151999
4152190	0.358603	GWD	AFR	ADCY9	4152190
4152718	0.0607502	GWD	AFR	ADCY9	4152718
4153153	-1.79432	GWD	AFR	ADCY9	4153153
4153178	-0.879766	GWD	AFR	ADCY9	4153178
4153200	-0.95627	GWD	AFR	ADCY9	4153200
4153389	-1.75126	GWD	AFR	ADCY9	4153389
4153524	0.258503	GWD	AFR	ADCY9	4153524
4154338	0.339081	GWD	AFR	ADCY9	4154338
4154536	0.494278	GWD	AFR	ADCY9	4154536
4154551	1.05276	GWD	AFR	ADCY9	4154551
4154851	0.326772	GWD	AFR	ADCY9	4154851
4155082	0.253633	GWD	AFR	ADCY9	4155082
4155419	0.945329	GWD	AFR	ADCY9	4155419
4155538	0.230394	GWD	AFR	ADCY9	4155538
4155599	0.771014	GWD	AFR	ADCY9	4155599
4155763	-0.41355	GWD	AFR	ADCY9	4155763
4155781	-0.460689	GWD	AFR	ADCY9	4155781
4156423	1.28064	GWD	AFR	ADCY9	4156423
4156535	0.0315665	GWD	AFR	ADCY9	4156535
4156857	-0.398099	GWD	AFR	ADCY9	4156857
4157696	-0.0421422	GWD	AFR	ADCY9	4157696
4157869	1.0807	GWD	AFR	ADCY9	4157869
4158352	-0.0120976	GWD	AFR	ADCY9	4158352
4158668	-0.0473022	GWD	AFR	ADCY9	4158668
4160370	0.977611	GWD	AFR	ADCY9	4160370
4160538	-0.834709	GWD	AFR	ADCY9	4160538
4161793	1.09719	GWD	AFR	ADCY9	4161793
4162526	-0.713702	GWD	AFR	ADCY9	4162526
4162760	-0.144458	GWD	AFR	ADCY9	4162760
4165817	-0.49646	GWD	AFR	ADCY9	4165817
4012825	1.70043	MSL	AFR	ADCY9	4012825
4013144	0.618213	MSL	AFR	ADCY9	4013144
4013467	1.21845	MSL	AFR	ADCY9	4013467
4013556	1.17256	MSL	AFR	ADCY9	4013556
4014141	-0.17459	MSL	AFR	ADCY9	4014141
4014245	-0.560978	MSL	AFR	ADCY9	4014245
4014770	-0.767865	MSL	AFR	ADCY9	4014770
4014922	0.248888	MSL	AFR	ADCY9	4014922
4014964	-0.383916	MSL	AFR	ADCY9	4014964
4014982	1.43855	MSL	AFR	ADCY9	4014982
4015313	-0.426375	MSL	AFR	ADCY9	4015313
4015316	1.09641	MSL	AFR	ADCY9	4015316
4015729	-0.0187486	MSL	AFR	ADCY9	4015729
4016676	-0.643104	MSL	AFR	ADCY9	4016676
4016943	1.06878	MSL	AFR	ADCY9	4016943
4017270	-1.00971	MSL	AFR	ADCY9	4017270
4017278	-0.559442	MSL	AFR	ADCY9	4017278
4017534	-0.490462	MSL	AFR	ADCY9	4017534
4017685	1.03281	MSL	AFR	ADCY9	4017685
4018031	0.573379	MSL	AFR	ADCY9	4018031
4018425	-0.670114	MSL	AFR	ADCY9	4018425
4019114	0.56583	MSL	AFR	ADCY9	4019114
4019123	0.494604	MSL	AFR	ADCY9	4019123
4019350	0.726744	MSL	AFR	ADCY9	4019350
4019530	-0.308765	MSL	AFR	ADCY9	4019530
4020391	-0.676294	MSL	AFR	ADCY9	4020391
4020732	0.0113974	MSL	AFR	ADCY9	4020732
4021051	-1.35542	MSL	AFR	ADCY9	4021051
4021411	-0.582865	MSL	AFR	ADCY9	4021411
4021734	-1.24431	MSL	AFR	ADCY9	4021734
4021803	0.0773385	MSL	AFR	ADCY9	4021803
4022167	-0.742761	MSL	AFR	ADCY9	4022167
4022638	-1.2161	MSL	AFR	ADCY9	4022638
4022694	-0.322602	MSL	AFR	ADCY9	4022694
4022703	-0.535521	MSL	AFR	ADCY9	4022703
4023022	0.444404	MSL	AFR	ADCY9	4023022
4023553	0.110705	MSL	AFR	ADCY9	4023553
4024128	0.168196	MSL	AFR	ADCY9	4024128
4024446	0.00224334	MSL	AFR	ADCY9	4024446
4025162	-0.214995	MSL	AFR	ADCY9	4025162
4025214	-0.112709	MSL	AFR	ADCY9	4025214
4025385	-0.381959	MSL	AFR	ADCY9	4025385
4026238	-0.24358	MSL	AFR	ADCY9	4026238
4026720	0.393011	MSL	AFR	ADCY9	4026720
4027399	-0.42396	MSL	AFR	ADCY9	4027399
4027423	-0.852413	MSL	AFR	ADCY9	4027423
4027596	-0.174413	MSL	AFR	ADCY9	4027596
4027605	-0.935958	MSL	AFR	ADCY9	4027605
4027688	-0.935958	MSL	AFR	ADCY9	4027688
4027749	0.611516	MSL	AFR	ADCY9	4027749
4028015	0.169188	MSL	AFR	ADCY9	4028015
4028060	0.293155	MSL	AFR	ADCY9	4028060
4028145	0.454175	MSL	AFR	ADCY9	4028145
4028417	0.111454	MSL	AFR	ADCY9	4028417
4028866	-0.0774037	MSL	AFR	ADCY9	4028866
4028877	0.374777	MSL	AFR	ADCY9	4028877
4029577	-0.0709828	MSL	AFR	ADCY9	4029577
4030550	0.636087	MSL	AFR	ADCY9	4030550
4030795	0.336054	MSL	AFR	ADCY9	4030795
4030928	-0.434241	MSL	AFR	ADCY9	4030928
4030952	0.432607	MSL	AFR	ADCY9	4030952
4031140	-0.382902	MSL	AFR	ADCY9	4031140
4031348	-0.148595	MSL	AFR	ADCY9	4031348
4031793	-0.0324919	MSL	AFR	ADCY9	4031793
4031794	-0.120594	MSL	AFR	ADCY9	4031794
4032021	-0.218884	MSL	AFR	ADCY9	4032021
4032489	-0.132744	MSL	AFR	ADCY9	4032489
4032581	0.344334	MSL	AFR	ADCY9	4032581
4032716	0.215156	MSL	AFR	ADCY9	4032716
4032802	0.295186	MSL	AFR	ADCY9	4032802
4032967	0.781554	MSL	AFR	ADCY9	4032967
4033012	0.243007	MSL	AFR	ADCY9	4033012
4033054	0.423297	MSL	AFR	ADCY9	4033054
4033436	0.53496	MSL	AFR	ADCY9	4033436
4033522	0.924482	MSL	AFR	ADCY9	4033522
4033729	1.11827	MSL	AFR	ADCY9	4033729
4033987	0.927619	MSL	AFR	ADCY9	4033987
4034001	-0.17338	MSL	AFR	ADCY9	4034001
4034067	0.911007	MSL	AFR	ADCY9	4034067
4034641	0.280314	MSL	AFR	ADCY9	4034641
4035068	0.316427	MSL	AFR	ADCY9	4035068
4035366	0.131852	MSL	AFR	ADCY9	4035366
4035462	0.815837	MSL	AFR	ADCY9	4035462
4035499	0.0245037	MSL	AFR	ADCY9	4035499
4035532	-0.0985062	MSL	AFR	ADCY9	4035532
4035583	-0.244558	MSL	AFR	ADCY9	4035583
4035735	0.787625	MSL	AFR	ADCY9	4035735
4035897	0.52731	MSL	AFR	ADCY9	4035897
4036286	-0.0255734	MSL	AFR	ADCY9	4036286
4036523	-0.262108	MSL	AFR	ADCY9	4036523
4036608	-0.148279	MSL	AFR	ADCY9	4036608
4037038	-0.143475	MSL	AFR	ADCY9	4037038
4037394	0.310393	MSL	AFR	ADCY9	4037394
4037471	-0.288559	MSL	AFR	ADCY9	4037471
4037906	0.421403	MSL	AFR	ADCY9	4037906
4037918	0.618944	MSL	AFR	ADCY9	4037918
4038359	0.0517231	MSL	AFR	ADCY9	4038359
4038387	0.318338	MSL	AFR	ADCY9	4038387
4038480	0.580623	MSL	AFR	ADCY9	4038480
4038606	-0.377582	MSL	AFR	ADCY9	4038606
4039351	0.298468	MSL	AFR	ADCY9	4039351
4039379	-0.361768	MSL	AFR	ADCY9	4039379
4039383	0.215404	MSL	AFR	ADCY9	4039383
4039567	0.685359	MSL	AFR	ADCY9	4039567
4039593	-0.537007	MSL	AFR	ADCY9	4039593
4039828	0.722775	MSL	AFR	ADCY9	4039828
4039968	0.281825	MSL	AFR	ADCY9	4039968
4040219	0.35839	MSL	AFR	ADCY9	4040219
4040360	0.63528	MSL	AFR	ADCY9	4040360
4040770	0.0760906	MSL	AFR	ADCY9	4040770
4041175	0.0795162	MSL	AFR	ADCY9	4041175
4041760	0.876024	MSL	AFR	ADCY9	4041760
4041995	-1.00043	MSL	AFR	ADCY9	4041995
4042449	-0.831646	MSL	AFR	ADCY9	4042449
4042470	1.23147	MSL	AFR	ADCY9	4042470
4042810	1.25714	MSL	AFR	ADCY9	4042810
4042995	0.0835286	MSL	AFR	ADCY9	4042995
4043091	1.43153	MSL	AFR	ADCY9	4043091
4043099	-1.38814	MSL	AFR	ADCY9	4043099
4043175	1.66372	MSL	AFR	ADCY9	4043175
4043218	1.81627	MSL	AFR	ADCY9	4043218
4043980	1.79633	MSL	AFR	ADCY9	4043980
4044038	1.59705	MSL	AFR	ADCY9	4044038
4044479	1.87323	MSL	AFR	ADCY9	4044479
4045116	1.79132	MSL	AFR	ADCY9	4045116
4045272	-0.278361	MSL	AFR	ADCY9	4045272
4045367	1.17441	MSL	AFR	ADCY9	4045367
4046952	1.70977	MSL	AFR	ADCY9	4046952
4047118	1.97932	MSL	AFR	ADCY9	4047118
4047619	1.37478	MSL	AFR	ADCY9	4047619
4047746	1.34071	MSL	AFR	ADCY9	4047746
4048218	1.44777	MSL	AFR	ADCY9	4048218
4048602	0.532519	MSL	AFR	ADCY9	4048602
4049365	0.597489	MSL	AFR	ADCY9	4049365
